date,y
2024-08-30,572225.0
2024-08-31,500461.0
2024-09-01,474746.0
2024-09-02,497761.0
2024-09-03,532190.0
2024-09-04,517981.0
2024-09-05,539154.0
2024-09-06,541499.0
2024-09-07,467697.0
2024-09-08,443983.0
2024-09-09,484357.0
2024-09-10,496236.0
2024-09-11,485718.0
2024-09-12,543579.0
2024-09-13,541521.0
2024-09-14,497081.0
2024-09-15,450094.0
2024-09-16,508716.0
2024-09-17,512792.0
2024-09-18,503606.0
2024-09-19,534707.0
2024-09-20,555435.0
2024-09-21,487325.0
2024-09-22,439610.0
2024-09-23,518528.0
2024-09-24,517079.0
2024-09-25,513256.0
2024-09-26,515965.0
2024-09-27,549045.0
2024-09-28,477266.0
2024-09-29,462111.0
2024-09-30,513555.0
2024-10-01,626337.0
2024-10-02,504061.0
2024-10-03,522348.0
2024-10-04,553982.0
2024-10-05,462401.0
2024-10-06,435532.0
2024-10-07,495630.0
2024-10-08,556194.0
2024-10-09,479175.0
2024-10-10,495077.0
2024-10-11,474119.0
2024-10-12,440477.0
2024-10-13,417442.0
2024-10-14,477679.0
2024-10-15,510964.0
2024-10-16,465015.0
2024-10-17,529901.0
2024-10-18,519056.0
2024-10-19,480562.0
2024-10-20,462770.0
2024-10-21,482337.0
2024-10-22,479204.0
2024-10-23,496062.0
2024-10-24,453818.0
2024-10-25,585659.0
2024-10-26,513505.0
2024-10-27,452846.0
2024-10-28,535356.0
2024-10-29,580911.0
2024-10-30,553379.0
2024-10-31,562550.0
2024-11-01,556938.0
2024-11-02,504261.0
2024-11-03,452489.0
2024-11-04,518020.0
2024-11-05,548496.0
2024-11-06,622567.0
2024-11-07,583392.0
2024-11-08,591256.0
2024-11-09,502341.0
2024-11-10,564887.0
2024-11-11,623757.0
2024-11-12,702614.0
2024-11-13,636591.0
2024-11-14,587387.0
2024-11-15,619496.0
2024-11-16,581986.0
2024-11-17,518085.0
2024-11-18,569926.0
2024-11-19,547133.0
2024-11-20,557265.0
2024-11-21,666198.0
2024-11-22,628962.0
2024-11-23,590149.0
2024-11-24,534909.0
2024-11-25,593158.0
2024-11-26,568082.0
2024-11-27,599701.0
2024-11-28,559054.0
2024-11-29,551876.0
2024-11-30,583648.0
2024-12-01,501246.0
2024-12-02,578842.0
2024-12-03,613585.0
2024-12-04,606514.0
2024-12-05,676971.0
2024-12-06,589966.0
2024-12-07,523611.0
2024-12-08,500126.0
2024-12-09,548218.0
2024-12-10,637676.0
2024-12-11,617471.0
2024-12-12,642365.0
2024-12-13,622796.0
2024-12-14,547370.0
2024-12-15,540459.0
2024-12-16,628257.0
2024-12-17,587955.0
2024-12-18,583495.0
2024-12-19,634202.0
2024-12-20,640920.0
2024-12-21,516725.0
2024-12-22,477331.0
2024-12-23,528563.0
2024-12-24,543738.0
2024-12-25,465831.0
2024-12-26,488028.0
2024-12-27,568492.0
2024-12-28,513628.0
2024-12-29,473130.0
2024-12-30,546526.0
2024-12-31,545227.0
2025-01-01,469908.0
2025-01-02,536381.0
2025-01-03,580296.0
2025-01-04,514543.0
2025-01-05,477492.0
2025-01-06,552854.0
2025-01-07,534903.0
2025-01-08,545474.0
2025-01-09,551517.0
2025-01-10,555569.0
2025-01-11,493250.0
2025-01-12,478512.0
2025-01-13,527739.0
2025-01-14,555702.0
2025-01-15,562243.0
2025-01-16,552617.0
2025-01-17,609681.0
2025-01-18,548843.0
2025-01-19,581784.0
2025-01-20,611603.0
2025-01-21,576234.0
2025-01-22,563550.0
2025-01-23,559393.0
2025-01-24,555324.0
2025-01-25,511721.0
2025-01-26,468657.0
2025-01-27,536813.0
2025-01-28,526610.0
2025-01-29,536882.0
2025-01-30,563297.0
2025-01-31,573440.0
2025-02-01,547939.0
2025-02-02,493629.0
2025-02-03,594369.0
2025-02-04,533329.0
2025-02-05,549668.0
2025-02-06,556046.0
2025-02-07,547121.0
2025-02-08,495840.0
2025-02-09,458209.0
2025-02-10,506614.0
2025-02-11,527971.0
2025-02-12,524479.0
2025-02-13,554664.0
2025-02-14,555378.0
2025-02-15,477805.0
2025-02-16,439616.0
2025-02-17,481661.0
2025-02-18,505135.0
2025-02-19,504104.0
2025-02-20,528372.0
2025-02-21,539520.0
2025-02-22,481128.0
2025-02-23,401327.0
2025-02-24,502390.0
2025-02-25,593036.0
2025-02-26,551544.0
2025-02-27,559897.0
2025-02-28,639073.0
2025-03-01,537837.0
2025-03-02,502728.0
2025-03-03,574113.0
